Tf,Target
629,6397
4468,4383
146,7567
1938,6006
6718,6416
9299,8337
2129,2500
5757,6183
6307,2079
2255,540
629,6486
5455,5674
1334,4588
2500,6789
332,6789
1352,6789
8922,6789
663,6789
4762,6789
6213,6789
4550,5591
6034,461
2188,4505
6231,5636
2395,6695
2395,6585
7029,1078
4941,6297
5643,6068
6718,6455
4468,4375
4468,2442
629,5828
6374,7496
2255,5537
7759,6183
5769,8099
5769,5633
5603,900
8467,2480
4825,5603
9408,211
10218,2761
2440,5480
9787,8762
6374,5753
9787,2255
5081,5962
5454,6585
4825,6638
7804,3849
6034,5581
2182,5591
211,8681
8922,5005
663,1203
8922,1203
2500,1203
332,1203
7355,4786
1634,6084
1634,2286
6374,5838
6034,8748
6644,2140
9408,6275
6251,2179
2440,5115
6718,2204
4941,7784
6374,102
4468,6281
629,6615
5757,2661
5660,2150
1313,8185
5603,5653
6994,4505
9299,7248
5769,900
2067,5775
1924,6236
9783,8078
146,4416
146,1352
5928,5826
1334,2106
1483,6494
5687,207
629,6072
6029,8467
6440,1322
6644,8467
6374,6979
6403,6005
5694,5591
629,6419
629,453
6034,6527
5013,5812
2255,6249
449,7997
629,7780
7759,2661
6034,7804
4954,6084
11416,1721
1669,6069
449,7248
5769,5653
3785,743
146,2423
1027,3849
9783,8637
5081,8685
2239,6216
6374,2143
6403,1380
2188,6183
6718,2223
852,6240
1049,6737
144,3922
6718,389
9299,8028
7355,5574
629,11812
5822,5900
6403,4366
5480,6240
4711,8078
2212,5193
6380,1411
6380,6229
7490,8185
146,3561
1938,1904
6718,6829
1879,6012
6718,4756
6269,2761
7009,6084
4825,6496
4526,6637
5679,6240
5928,4916
2067,2760
5119,4839
2500,7963
8922,7963
332,7963
1352,7963
663,7963
9299,6182
2230,6637
6185,5083
5542,3999
7593,1801
7593,167
7593,5888
4825,6132
5603,211
4468,6103
4468,5147
4468,5966
4468,2087
4468,6476
7228,7069
1483,7252
6718,1447
3362,4001
3362,4796
3362,6233
3362,3606
7578,2500
2212,6082
7482,6998
7482,2072
4711,8637
6403,9772
6245,6084
6245,2286
144,5638
6034,5245
4825,2185
4762,5969
1352,5969
1352,4762
6213,5969
2500,663
8922,4762
8922,6213
8922,5969
663,6213
2500,6213
4762,6213
2500,332
663,332
332,4762
2500,4762
8922,663
8922,332
663,4762
2500,5969
332,6213
663,5969
1352,6213
332,5969
6257,6084
6257,2286
4671,2124
1483,6523
6034,4643
9408,3191
6467,4891
7029,5083
3864,7069
629,6437
6034,6515
5769,211
7759,2179
4825,1516
6403,6521
1938,5193
9299,440
4481,2212
6403,2226
449,6182
2188,2661
6403,6686
629,5877
5120,4270
5120,3999
2212,6789
6644,6825
5058,5633
9783,8762
6994,6183
2161,6415
6034,2251
9783,2255
6644,4954
5258,8712
1726,5210
1938,6082
8922,5955
663,5955
332,5955
2500,5955
7857,8078
6297,4756
4364,2947
4364,6229
4364,1414
4364,6463
4364,1411
6374,5522
5603,6275
6718,6013
8467,642
6307,8712
6231,6321
6403,6421
5120,6430
6029,4954
5013,908
6718,6267
2313,4335
6718,5219
6660,8156
5947,5963
9299,10155
5013,3327
6307,6374
5058,900
1879,7559
6034,6631
5081,2184
6406,6998
2255,4846
146,4479
1483,8591
10218,6066
7857,8637
6403,4489
4711,8762
6644,5679
6994,2661
4481,5373
4481,2389
6403,5724
5660,1725
5769,6275
6403,5601
3362,9042
3362,8175
1938,6789
9408,5874
3999,6178
6029,5679
5759,6249
9408,6444
2090,2500
5058,5653
6718,5932
4825,5909
330,6277
5655,2072
5655,6998
6307,3447
4825,2784
2435,6737
6720,6178
5258,1391
5475,7008
1879,1669
6034,3861
7759,8697
6718,2480
6403,5028
3785,4505
629,8542
3999,3089
3999,4982
3999,6011
3999,4529
1049,5591
6307,1391
2338,6097
6644,6718
5822,4386
1938,1203
7558,5674
608,2124
5822,5547
5013,7020
6644,4474
5847,3999
5847,4270
5603,3191
6029,4474
6403,7567
6720,4982
6720,6011
6720,3089
6720,4529
663,5912
2500,5912
8922,5912
2440,1002
2255,4419
6251,5633
6374,6465
6488,5822
1924,909
4941,8185
7355,6410
5013,2701
4468,5666
2161,6969
4825,6927
5847,6430
6994,2179
1483,6073
2255,35
2255,6074
2255,3201
629,6632
1879,2086
5769,3191
6660,2212
6231,5850
6380,4452
6380,1362
6432,5633
5775,2124
146,6913
2212,6213
2212,5969
2212,4762
6251,900
6415,2124
2067,6336
5013,8082
5475,5503
4825,2407
6191,5633
2316,6005
7593,2303
2761,6444
11416,6812
4468,6309
4468,5941
4468,6592
6523,4663
5947,6678
5822,5644
6403,1352
6403,4416
6231,5918
211,4393
629,1389
6644,6595
2255,1658
1879,2079
1938,7963
5603,5874
6029,6595
3999,4357
6969,3864
1701,3864
4422,3864
6251,5653
5475,1334
1334,2265
4825,5593
5687,6851
5475,10339
6720,4357
332,6494
2500,6494
8922,6494
663,6494
6410,6012
6374,6638
6644,4486
6269,6066
5603,6444
1483,5510
6029,4486
5455,5635
6403,2423
13053,2124
3362,5758
5757,5633
6660,2389
6660,10234
6660,5373
5773,4511
6718,4868
3254,6084
5085,6737
5058,6275
144,8156
6412,2500
440,207
1938,5969
1938,4762
1938,6213
6380,2316
3785,6183
6231,6397
6660,5135
5455,449
7992,5923
9408,1078
2437,5060
6644,4986
1483,1353
6403,3561
7759,5633
7759,8099
5769,6444
1334,7188
7482,5218
5947,5119
6380,4383
4364,4452
4364,1362
4364,8066
1938,5955
6592,5590
4825,5866
1463,5872
6190,5872
6029,4986
2106,2124
6231,6642
2440,6005
7947,6406
7347,2500
4825,5755
4825,331
6718,642
146,3785
6380,2442
6380,4375
9299,6953
3785,2661
9593,2395
7759,900
167,6637
663,7252
332,7252
1352,7252
2500,7252
4762,7252
8922,7252
7804,2124
6403,5911
6467,6226
8467,5781
4825,11379
5826,6678
7593,6585
7593,6695
7593,6890
5013,5515
2338,6216
6034,5900
2440,1380
2435,5591
6374,6496
1352,6523
663,6523
332,6523
2500,6523
8922,6523
9299,5636
2440,4366
7482,8804
6380,6281
5058,3191
6374,6132
6231,6072
5258,5826
449,6953
6307,5826
6275,1371
449,5636
5674,5636
6231,6419
5635,5636
11812,5590
1483,5480
4825,6639
5013,2115
1483,5115
6644,2314
6504,6737
6374,2185
4364,2316
3888,6084
9299,7101
7759,5653
5822,2257
6029,2314
4364,8589
5655,5218
629,5962
8199,2500
2188,5633
11416,7836
144,2212
2316,5724
1027,2124
2255,7759
6406,5218
6251,6275
1002,6097
5822,6265
9299,8457
3753,6737
4364,4383
4825,7071
1414,6555
6463,6555
2947,6555
3999,461
7029,3999
7029,4270
9299,3083
9299,6321
3785,2179
8467,1661
8467,6261
8748,6695
8748,6585
6242,5647
7316,6467
6403,4479
6644,8147
4825,2284
4364,2188
4825,4909
4825,10203
4825,3712
8004,6231
4364,2442
4364,4375
2255,7188
5013,7490
2440,6521
3191,5963
6720,461
9299,100
4481,2761
6029,8147
2440,2226
5013,2455
663,8591
2500,8591
332,8591
8922,8591
5258,4916
2440,6686
6644,4849
5081,5794
8752,6737
7029,6430
449,8457
6191,6275
4825,6203
8467,5587
6307,4916
5013,10218
2255,4588
449,7101
9787,9778
11416,2441
6029,4849
7112,146
6084,4891
5081,6480
5013,4985
7482,2775
5655,8804
5013,13063
6406,8804
6240,6097
1879,8712
4364,6281
4825,6883
5603,1078
146,6229
146,1411
146,1414
146,2947
146,6463
5013,5629
144,3950
144,2389
144,10234
144,5475
144,5373
6380,5147
6380,6103
2440,6421
629,8685
6994,5633
7355,6665
1879,6374
6231,6437
5058,6444
449,100
3999,8748
144,5135
6644,6440
5081,5688
7759,211
1334,6467
11416,5822
2440,4489
4941,6506
9787,7069
9408,5083
7947,5804
6374,5909
5769,1078
2440,5724
4468,1872
7316,4616
8922,2129
5757,6275
2440,5601
1334,1726
6720,8748
7316,9343
629,330
5081,5519
6994,900
6251,3191
5704,6998
1879,3447
6034,4386
1938,6494
663,6073
8922,6073
2500,6073
332,6073
7947,2078
2255,2106
8752,9887
4825,6416
7355,5726
6034,5644
2212,7252
6403,6913
1879,1391
7759,6275
6034,5547
2440,5028
6718,6250
6034,1900
6034,6311
9299,9593
4416,5751
7482,4001
7482,5019
7482,6233
7482,3606
7482,6422
7482,4796
7482,6176
7482,467
4825,6455
8467,5812
128,3849
211,5872
5655,2775
6994,5653
6406,2775
5807,4486
1879,228
2395,5804
6718,852
4944,2500
5471,2500
4364,5147
4364,5966
4364,6476
4364,2087
4364,6103
2440,7567
6034,7355
5013,5148
8818,737
1583,3849
3191,6678
6488,9974
5013,8199
1334,4616
629,2184
4825,2204
1879,144
6069,3849
1334,9343
4375,6695
2442,6695
2442,6585
4375,6585
11416,7558
7558,5635
10283,6240
6488,6080
9299,5766
7316,5067
9299,2439
