sample,Gene_count,UMI_count,EdU,Type,time,Main_cluster_name,UMAP_1,UMAP_2,Mouse_id,assay,Trajectory,Pseudotime,Trajectory_UMAP1,Trajectory_UMAP2
1145,1981,5006,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.173576366,-2.250738114,EdU_29,RNA,Oligodendrogenesis trajectory,0.072516744,0.972400235,-2.974718946
2545,1716,4470,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.608891498,0.226864405,EdU_33,RNA,Oligodendrogenesis trajectory,0.073847429,0.564682053,-1.842696326
2180,2217,5930,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-7.864479076,-0.451885551,EdU_33,RNA,Oligodendrogenesis trajectory,0.074272186,4.017301129,-2.645146506
719,3169,12183,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.93123437,1.142485828,EdU_31,RNA,Oligodendrogenesis trajectory,0.077066459,5.878957318,-1.291040199
2305,1478,3831,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-7.815215121,-0.280523985,EdU_33,RNA,Oligodendrogenesis trajectory,0.080857729,4.335503147,-0.774248498
759,2465,7679,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.300299655,-0.535806387,EdU_31,RNA,Oligodendrogenesis trajectory,0.083778487,4.070658253,-3.441336291
1084,1751,5393,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.473561298,-0.390947669,EdU_31,RNA,Oligodendrogenesis trajectory,0.089108566,4.377398537,-1.691097634
1033,2501,7908,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.808670055,-2.634818285,EdU_29,RNA,Oligodendrogenesis trajectory,0.089399493,0.47961645,-3.750432866
2219,1227,2684,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-10.55430509,-1.871627777,EdU_33,RNA,Oligodendrogenesis trajectory,0.089875555,-0.055926396,-1.182652968
573,2230,6198,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.901893626,1.12394473,EdU_31,RNA,Oligodendrogenesis trajectory,0.097506629,5.624363945,-1.663200276
453,1391,3128,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.57988835,-1.640434235,EdU_29,RNA,Oligodendrogenesis trajectory,0.098469515,0.626478241,-1.530469912
11925,1718,5091,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.929320346,-2.336728781,EdU_33,RNA,Oligodendrogenesis trajectory,0.099040165,0.158528136,-3.050613063
2444,1294,2985,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.44514371,0.139791578,EdU_33,RNA,Oligodendrogenesis trajectory,0.102111695,4.386350678,-0.262646305
2289,1832,4949,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.148810397,-1.053635686,EdU_33,RNA,Oligodendrogenesis trajectory,0.111982373,2.156396674,-2.924573081
614,1389,3175,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.36850072,-2.590641468,EdU_31,RNA,Oligodendrogenesis trajectory,0.111985548,0.821953581,-2.926987784
2570,856,1658,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.704797755,0.655041725,EdU_33,RNA,Oligodendrogenesis trajectory,0.113051905,3.878452824,-0.930077689
2271,1171,2773,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.86449433,-1.658340662,EdU_33,RNA,Oligodendrogenesis trajectory,0.114404095,-0.113959743,-1.174120086
2510,1575,3848,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.280262004,-1.598997086,EdU_33,RNA,Oligodendrogenesis trajectory,0.11558648,1.072443055,-5.226077216
957,1380,3329,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.47023107,-2.318503826,EdU_31,RNA,Oligodendrogenesis trajectory,0.116661736,0.764905499,-3.938326018
750,2080,6495,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.486610423,0.105035365,EdU_29,RNA,Oligodendrogenesis trajectory,0.116676766,3.025781678,-1.39607312
2195,1899,4701,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-7.972823154,-0.000864192,EdU_33,RNA,Oligodendrogenesis trajectory,0.118462364,4.584909962,-2.057854789
467,1896,5674,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.496157657,0.28244317,EdU_31,RNA,Oligodendrogenesis trajectory,0.11858635,3.917405651,-0.804387467
2487,1350,3147,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.415735255,0.394475818,EdU_33,RNA,Oligodendrogenesis trajectory,0.129878799,4.542934941,-0.269410329
2345,1502,3569,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.211878787,0.156725556,EdU_33,RNA,Oligodendrogenesis trajectory,0.129879222,4.306052731,-0.635826188
2254,1191,2534,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.411521922,0.768755347,EdU_33,RNA,Oligodendrogenesis trajectory,0.129879434,4.62789254,-0.418111997
91,2625,15214,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.149819385,-0.365344315,EdU_31,RNA,Oligodendrogenesis trajectory,0.131003456,3.920429276,-0.862887698
122,1812,4754,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.302184116,0.1293431,EdU_31,RNA,Oligodendrogenesis trajectory,0.131615978,3.957917736,-0.715080278
2243,1008,1776,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-9.079564105,0.098254085,EdU_33,RNA,Oligodendrogenesis trajectory,0.135920736,4.414150761,-0.645137089
2423,1386,4325,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.225880633,0.101314962,EdU_33,RNA,Oligodendrogenesis trajectory,0.142917532,3.795900868,-3.045825856
