TF,Target
7734,15230
7315,2378
10539,553
11739,745
778,11458
11970,15230
854,14310
16883,12667
8920,6626
924,10909
7486,16971
17175,6626
5209,4482
688,14807
10067,17304
11609,14145
7517,11520
924,13362
13195,5105
5114,3574
6312,3493
2674,5729
4926,4801
9075,906
1885,1076
9283,11775
7486,11804
14340,546
9315,940
11317,1351
778,17089
1447,9089
778,8346
8129,14204
11683,4131
1447,15994
8431,13918
11604,12232
15289,15149
1447,10150
7427,4398
868,14427
10261,7328
7486,3662
14248,17472
14668,12597
9401,5895
5737,10391
16912,924
6052,3471
9095,12715
7130,3077
17396,4874
14651,3936
12063,2543
11431,3936
6311,6133
5363,4131
15227,4482
2674,11522
14625,3391
4000,10314
3995,8910
3686,1266
422,17534
11993,7268
3686,6547
15311,13328
7486,12632
289,8862
13287,10282
10218,14807
5809,2543
3471,3784
9100,6132
13305,12500
778,6942
6086,17689
553,13582
553,9077
6095,12478
4588,13769
6624,6796
8431,14410
1447,4055
16620,11557
7698,7457
11151,8689
15581,1076
6138,9077
6138,13582
8990,6626
12535,6187
9332,10127
5307,8910
16281,9255
11317,17194
16357,6134
11602,14652
17534,9953
9385,13769
14340,3485
4306,8422
289,11520
4830,6132
15991,6132
1453,6132
13227,6132
16072,6132
7698,13340
2320,6134
9484,6134
8506,14755
10110,8514
11317,9831
9283,17477
3997,13658
14070,3493
13604,12212
10150,906
13195,3852
8925,6187
3007,13586
1447,3007
1949,14604
12089,9332
14309,17425
15891,8320
7691,12597
14340,12565
228,12338
11612,9983
5964,15655
553,13918
11317,12499
1330,9983
4131,3225
773,7440
16910,4131
15227,9597
10902,8128
1447,9182
9100,906
7759,16001
7256,9517
12979,12729
2648,17689
5548,6132
14432,15409
14300,16955
11431,11739
661,14807
10539,3471
6886,15725
14702,8910
10208,17304
16620,17689
6855,9110
13515,13216
695,4940
695,13402
8915,4874
5647,623
7486,15712
10121,5891
11559,11333
4751,17689
8664,12667
4830,906
305,17472
13227,906
15991,906
16072,906
1453,906
9645,4961
9283,11522
17304,14473
4312,14309
15891,8901
8869,16502
8282,4801
11757,9517
16009,6832
1447,8878
8920,11315
14756,3903
9798,8128
10539,16044
17534,4630
7759,14656
3007,3123
4979,17689
970,10909
3686,11841
9500,6301
2400,2543
1545,16714
3656,15875
5896,2543
7117,2543
13581,12594
12588,11013
778,2824
6138,13918
646,6134
13287,13200
6855,10276
11739,13658
970,13362
9635,6624
3997,10860
2272,13200
5737,3077
532,13200
3350,10202
7127,10865
14407,7955
17749,14204
5417,14145
10182,16487
5548,906
186,17032
16357,17472
9283,13563
3940,16502
9182,14800
7315,7955
12588,14169
1971,2543
1330,14807
11739,10860
13163,1076
15311,6134
3481,9983
3212,3457
10844,17193
11640,13432
10182,5898
16910,4874
2320,17472
4230,17472
9484,17472
9112,13823
13287,13644
3007,7427
9645,6802
5929,8422
553,3476
2272,13644
532,13644
3629,12597
7328,2378
3997,10068
5888,3457
7625,6132
16912,2923
12659,1076
2674,1030
7759,8130
13830,2543
6176,16487
14625,14755
14340,5142
3436,14309
3476,9517
13581,9645
7759,12681
11185,622
7759,3998
7759,1202
6311,12261
305,6134
5826,11777
6312,5891
2393,17304
7759,7071
7759,5123
7759,811
7759,7129
7759,2493
7759,11185
7759,6311
7759,7459
774,16434
10827,3586
8185,13216
10867,1283
13634,9517
2807,15725
436,8910
2274,16275
6624,5196
772,15253
4306,13886
9192,10369
1447,16787
15285,10526
11612,12669
617,13402
16912,12979
15200,14655
15427,17304
10182,546
15964,15230
13655,16565
8947,10127
4751,11557
10261,10889
7625,906
10999,13723
13604,9089
2674,3047
13287,16434
8361,8422
1266,10120
11317,228
15891,9144
532,16434
2272,16434
14667,9517
14432,11804
16281,1519
2573,9332
6187,1040
3260,9110
646,17472
10827,9953
8157,10399
8431,8278
8195,6132
15997,12500
12715,15725
13604,10150
5847,16565
13604,9182
6035,4961
5114,16487
14432,3662
11683,4874
4819,8514
9768,12667
743,12478
14432,16616
14612,8910
15311,17472
9401,13200
8925,6264
13604,3007
13764,16714
6837,5289
10182,3485
14436,13537
3686,11257
11914,4961
17175,11315
13302,3493
9749,6944
8506,5895
11604,14807
2674,4687
553,2420
5363,4874
10121,13770
6176,546
9100,8990
3686,10999
14473,7955
2977,14145
1896,13617
3260,10276
617,4940
11317,762
10897,12667
10827,4630
6618,8514
6179,745
12478,8514
10352,3087
11640,3493
1447,2693
11715,9332
6837,4631
6803,9332
10261,7244
11965,3391
4000,13723
1447,12190
14432,15712
10539,11631
8185,5289
17227,14755
422,12729
432,13540
5114,5898
3481,6134
8195,906
1453,8990
6626,9517
6138,2420
7341,1076
553,3018
7486,14423
9401,16434
11317,7117
14340,13742
14432,16971
2674,17156
399,12478
6311,428
612,4439
12415,6133
17472,16565
4000,5280
3391,16502
12325,13617
5929,13886
11431,14204
12019,3784
14756,13626
10539,11602
186,8869
9192,12594
7759,10208
6176,3485
7517,13303
5598,3493
11431,17475
9363,3493
8477,15230
11602,3457
1211,14755
13604,8878
11317,12518
16118,12597
17304,10958
2274,10120
16052,6626
11992,14702
11850,12500
10279,1076
9109,16714
8990,11315
12415,17689
11795,13537
1055,14861
17475,10218
5156,9332
16898,2387
9401,13644
17304,12813
10361,9332
7315,14204
4631,13769
1896,17689
12063,16502
1330,13361
3662,3833
15996,12048
10563,17475
17251,6547
8030,9517
7143,9517
5945,9517
12765,13576
9151,6626
1456,3833
13287,15749
771,13537
7130,12715
16052,10109
7690,17689
2272,15749
532,15749
11520,14145
16418,6796
4926,12782
16198,17194
5598,17475
3391,14204
16198,12499
13809,12667
10182,12565
9363,17475
7127,10127
6311,7734
9283,9255
15227,9401
12604,10865
16739,14145
10555,12792
14232,4398
10539,16009
5809,16502
5598,5891
773,4810
17442,5891
9363,5891
13581,10827
7690,10127
7328,7955
7486,16871
13733,8128
16436,8514
14229,15725
5494,8514
5896,16502
9283,5729
11341,16565
773,2514
1410,9332
17534,3586
11557,9332
14248,10909
15182,12667
